,SYMBOL,NAME OF COMPANY,cm04JUL2024bhav.csv,cm03JUL2024bhav.csv,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
1875,WILLAMAGOR,Williamson Magor & Company Limited,39.5,37.25,37.3,38.34
1876,WINDLAS,Windlas Biotech Limited,716.5,719.8,739.5,732.5
1877,WINDMACHIN,Windsor Machines Limited,178.64,170.14,162.04,154.33
1878,WIPL,The Western India Plywoods Limited,156.0,159.4,156.0,158.4
1879,WIPRO,Wipro Limited,532.25,539.2,538.35,527.2
1880,WOCKPHARMA,Wockhardt Limited,936.1,885.0,847.0,823.9
1881,WONDERLA,Wonderla Holidays Limited,917.0,911.0,905.0,910.15
1882,WORTH,Worth Peripherals Limited,129.0,126.2,127.45,125.3
1883,WSI,W S Industries (I) Limited,172.0,165.26,167.35,166.85
1884,WSTCSTPAPR,West Coast Paper Mills Limited,707.55,717.0,739.0,685.95
1885,XCHANGING,Xchanging Solutions Limited,124.95,125.0,128.01,126.25
1886,XELPMOC,Xelpmoc Design And Tech Limited,,,,
1887,XPROINDIA,Xpro India Limited,980.0,986.05,997.25,990.0
1888,YAARI,Yaari Digital Integrated Services Limited,,,,
1889,YESBANK,Yes Bank Limited,23.99,23.93,23.83,24.03
1890,YUKEN,Yuken India Limited,1185.0,1168.2,1150.0,1209.5
1891,ZEEL,Zee Entertainment Enterprises Limited,150.1,150.75,153.35,153.8
1892,ZEELEARN,Zee Learn Limited,,,,
1893,ZEEMEDIA,Zee Media Corporation Limited,14.81,14.8,14.76,14.69
1894,ZENITHEXPO,Zenith Exports Limited,,,,
1895,ZENITHSTL,Zenith Steel Pipes & Industries Limited,,14.02,13.36,12.73
1896,ZENSARTECH,Zensar Technologies Limited,751.5,745.9,748.0,751.8
1897,ZENTEC,Zen Technologies Limited,1434.0,1429.8,1296.0,1292.55
1898,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,15821.1,15980.0,16000.0,16001.0
1899,ZIMLAB,Zim Laboratories Limited,111.8,115.0,107.0,108.25
1900,ZODIAC,Zodiac Energy Limited,,,,
1901,ZODIACLOTH,Zodiac Clothing Company Limited,,,,
1902,ZOMATO,Zomato Limited,207.05,208.4,208.52,203.7
1903,ZOTA,Zota Health Care LImited,604.8,591.2,574.0,563.6
1904,ZUARI,Zuari Agro Chemicals Limited,224.0,224.0,224.2,226.8
1905,ZUARIIND,ZUARI INDUSTRIES LIMITED,396.0,399.8,398.5,401.0
1906,ZYDUSLIFE,Zydus Lifesciences Limited,1139.5,1092.75,1073.0,1067.9
1907,ZYDUSWELL,Zydus Wellness Limited,2081.7,2062.0,1920.0,1867.0
